sizeMap; possibleActions; possibleStates; initialQValues; learningMethod; selectionMethod; numberOfTasks; numberOfEpisodes; softmax_baselineUsed; softmax_temperature; UCB_c; eGreedy_epsilon_initial; eGreedy_epsilon_final; qLearning_alpha; qLearning_gamma; qLearning_lambda; taskNumber; episodeNumber; episodeStepTime; optimalAction; lastState; actionInLastState; newState; averageReward; RMS; percentageOfChosenOptimalActionsPerEpisode; percentageOfChosenActionsPerEpisode; victories;
;;;;;;;;;;;;;;;;39;30;713;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.8;-1.0;2.100840336134454;15.26611_16.38655_16.52661_1.96078_15.12605_16.38655_16.2465_2.10084;1;
;;;;;;;;;;;;;;;;39;31;225;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;LEFT;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;0.8849557522123894;4.42478_3.53982_39.82301_2.65487_3.53982_2.21239_42.92035_0.88496;0;
;;;;;;;;;;;;;;;;39;32;1103;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.9;-1.0;3.351449275362319;31.34058_1.08696_14.03986_6.15942_26.26812_3.26087_14.49275_3.35145;1;
;;;;;;;;;;;;;;;;39;33;31;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.5;-1.0;9.375;9.375_6.25_31.25_3.125_15.625_3.125_21.875_9.375;0;
;;;;;;;;;;;;;;;;39;34;341;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;LEFT;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.4;-1.0;3.216374269005848;36.84211_3.21637_7.01754_2.63158_37.7193_2.33918_7.01754_3.21637;0;
;;;;;;;;;;;;;;;;39;35;530;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.8;-1.0;3.0131826741996233;3.38983_38.22976_6.40301_2.07156_3.38983_38.79473_4.7081_3.01318;1;
;;;;;;;;;;;;;;;;39;36;236;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.4;-1.0;1.6877637130801688;5.06329_2.1097_41.77215_1.26582_5.48523_1.68776_40.92827_1.68776;0;
;;;;;;;;;;;;;;;;39;37;1650;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.9;-1.0;6.723198061780739;24.40945_11.56875_7.81345_6.17807_24.59116_11.87159_6.84434_6.7232;1;
;;;;;;;;;;;;;;;;39;38;1176;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.6000000000000001;-1.0;8.156329651656755;10.36534_2.20901_40.10195_1.69924_1.69924_17.16228_18.60663_8.15633;1;
;;;;;;;;;;;;;;;;39;39;212;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;LEFT;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;9.859154929577464;7.51174_19.24883_9.85915_12.67606_8.92019_14.55399_17.37089_9.85915;0;
;;;;;;;;;;;;;;;;39;40;42;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;LEFT;RECIBIENDO_ATAQUE_AEREO_ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.8;-1.0;2.3255813953488373;25.5814_9.30233_16.27907_6.97674_11.62791_13.95349_13.95349_2.32558;0;
;;;;;;;;;;;;;;;;39;41;130;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;LEFT_DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.6000000000000001;-1.0;12.977099236641221;27.48092_2.29008_10.68702_8.39695_30.53435_3.05344_4.58015_12.9771;0;
;;;;;;;;;;;;;;;;39;42;2218;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;UP;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;1.5322217214961695;9.37359_29.74313_9.46372_1.1717_9.91438_29.47274_9.32853_1.53222;0;
;;;;;;;;;;;;;;;;39;43;23;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;LEFT;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.4;-1.0;4.166666666666667;12.5_20.83333_8.33333_8.33333_16.66667_4.16667_25.0_4.16667;0;
;;;;;;;;;;;;;;;;39;44;70;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;RIGHT_DOWN;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;9.859154929577464;18.30986_5.6338_16.90141_12.67606_14.08451_7.04225_15.49296_9.85915;0;
;;;;;;;;;;;;;;;;39;45;782;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;RIGHT;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;0.7662835249042146;1.78799_32.31162_15.19796_0.38314_2.68199_31.67305_15.19796_0.76628;0;
